start_year,average_score,stddev_score,average_review_score,stddev_review_score,reviews_given,scores_given,usefulReviews_given
1968,5.8104375896700144,2.0514736049919557,5.888888888888889,2.2462750575089703,18,5576,197
1967,6.062322326700197,2.048153796885825,5.5,2.5038431998091992,14,4573,276
1966,6.137767220902613,1.8616664702756491,6.857142857142857,1.9518001458970666,7,2105,32
1965,5.5518097941802695,2.0059315458708458,5.285714285714286,2.870208222079931,7,2818,25
1964,4.9468302658486705,2.370119495230046,5.5,2.949576240750525,6,2445,70
1963,5.577148958889482,2.296348988823972,6.333333333333333,2.845213189769458,15,3746,156
1962,4.51830985915493,2.5152679702895178,6.166666666666667,2.975389247891877,18,3905,207
1961,5.753953194180898,2.076280723034774,5.5,1.9148542155126762,4,1581,17
1960,5.138939670932358,2.170011271956735,6.25,1.7525491637693282,8,1094,43
1959,5.703896103896104,1.7988901041689203,5.142857142857143,0.6900655593423541,7,770,28
1958,5.615826419910658,1.837374074500446,5.916666666666667,1.9286515936521476,12,1567,63
1957,5.593639575971731,1.7318142834445256,7.0,NaN,1,566,15
1956,5.4679752066115705,1.8830895072874279,8.0,1.8973665961010275,6,968,38
1955,5.4,1.8603412496682945,"","",0,70,""
1954,4.882154882154882,1.7695581034077073,5.0,0.0,2,297,6
1953,5.542857142857143,1.8042899392486647,"","",0,35,""
1952,4.923076923076923,1.9109944812378694,7.0,NaN,1,416,2
1951,6.0,2.6457513110645903,"","",0,15,""
1950,4.9621380846325165,1.816563393126487,5.5,0.7071067811865476,2,449,6
1949,4.945205479452055,2.030052902038076,"","",0,146,""
1948,5.235051546391753,1.8956257409670343,5.666666666666667,2.5166114784235836,3,485,11
1947,5.51304347826087,1.7962207597378907,6.666666666666667,1.1547005383792515,3,460,10
1946,4.9021739130434785,1.9614963037542696,"","",0,92,""
1945,5.033264033264033,2.0132207692048745,4.166666666666667,2.786873995477131,6,481,44
1944,4.562913907284768,1.8459908231638904,6.0,NaN,1,151,1
1943,4.644444444444445,2.006781126662393,3.5,0.7071067811865476,2,495,6
1942,4.3707533234859675,1.9307312729202584,5.666666666666667,1.5275252316519468,3,677,4
1941,5.086727989487517,1.89329702423195,4.888888888888889,1.2692955176439846,9,761,27
1940,4.993388429752066,2.023035206454561,5.5,2.3804761428476167,4,605,7
1939,4.95177304964539,1.854187629826656,5.333333333333333,1.505545305418162,6,705,25
1938,4.8312101910828025,1.7440488863500578,6.0,NaN,1,314,5
1937,5.0,1.8206913871032133,3.0,NaN,1,182,1
1936,4.513603818615752,1.9596408130386465,5.0,1.5275252316519468,7,2095,21
1935,4.448231511254019,2.0132374144349288,4.666666666666667,2.6583202716502514,6,3110,14
1934,4.359068627450981,1.9663473068844217,5.0,2.23606797749979,11,2448,39
1933,4.734012649332397,1.952660082395162,5.4,2.590581230363393,10,2846,35
1932,4.432276657060519,1.9769151881277636,3.857142857142857,1.2149857925879117,7,2082,21
1931,4.706118180233571,1.9467508268156526,5.153846153846154,2.2749471676029347,26,5737,147
1930,5.046875,1.922471439009061,6.0,2.6726124191242437,8,2048,52
1929,5.256965944272446,1.9964241026175427,7.5,1.9748417658131499,6,2261,55
1928,4.81234096692112,1.9509648635853105,3.75,2.06155281280883,4,1572,28
1927,4.663853727144867,1.8998372950303404,5.5,3.5355339059327378,2,711,5
1926,4.922143579373104,1.8738032768289168,5.5,0.7071067811865476,2,989,9
1925,5.130824372759856,1.8123106950177275,8.0,1.7320508075688772,3,558,8
1924,5.110609480812641,1.8699699561069132,8.0,2.8284271247461903,2,443,2
1918,4.5675675675675675,1.9228853518375988,5.5,1.7320508075688772,4,851,7
1917,5.30973715651135,2.272831086969454,7.086956521739131,2.5568631967930204,23,3348,340
